SessionID,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Weekend,Month,CustomerType,Purchase
1,0,0,0,0,1,0,0.2,0.2,0,0,FALSE,Feb,Returning_Customer,0
2,0,0,0,0,2,64,0,0.1,0,0,FALSE,Feb,Returning_Customer,0
3,0,0,0,0,1,0,0.2,0.2,0,0,FALSE,Feb,Returning_Customer,0
4,0,0,0,0,2,2.666666667,0.05,0.14,0,0,FALSE,Feb,Returning_Customer,0
5,0,0,0,0,10,627.5,0.02,0.05,0,0,TRUE,Feb,Returning_Customer,0
6,0,0,0,0,19,154.2166667,0.015789474,0.024561404,0,0,FALSE,Feb,Returning_Customer,0
7,0,0,0,0,1,0,0.2,0.2,0,0.4,FALSE,Feb,Returning_Customer,0
8,1,0,0,0,0,0,0.2,0.2,0,0,TRUE,Feb,Returning_Customer,0
9,0,0,0,0,2,37,0,0.1,0,0.8,FALSE,Feb,Returning_Customer,0
10,0,0,0,0,3,738,0,0.022222222,0,0.4,FALSE,Feb,Returning_Customer,0
11,0,0,0,0,3,395,0,0.066666667,0,0,FALSE,Feb,Returning_Customer,0
12,0,0,0,0,16,407.75,0.01875,0.025833333,0,0.4,FALSE,Feb,Returning_Customer,0
13,0,0,0,0,7,280.5,0,0.028571429,0,0,FALSE,Feb,Returning_Customer,0
14,0,0,0,0,6,98,0,0.066666667,0,0,FALSE,Feb,Returning_Customer,0
15,0,0,0,0,2,68,0,0.1,0,0,FALSE,Feb,Returning_Customer,0
16,2,53,0,0,23,1668.285119,0.008333333,0.016312636,0,0,FALSE,Feb,Returning_Customer,0
17,0,0,0,0,1,0,0.2,0.2,0,0,FALSE,Feb,Returning_Customer,0
18,0,0,0,0,13,334.9666667,0,0.007692308,0,0,TRUE,Feb,Returning_Customer,0
19,0,0,0,0,2,32,0,0.1,0,0,FALSE,Feb,Returning_Customer,0
20,0,0,0,0,20,2981.166667,0,0.01,0,0,FALSE,Feb,Returning_Customer,0
21,0,0,0,0,8,136.1666667,0,0.008333333,0,1,TRUE,Feb,Returning_Customer,0
22,0,0,0,0,2,0,0.2,0.2,0,0,FALSE,Feb,Returning_Customer,0
23,0,0,0,0,3,105,0,0.033333333,0,0,FALSE,Feb,Returning_Customer,0
24,0,0,0,0,2,15,0,0.1,0,0.8,FALSE,Feb,Returning_Customer,0
25,0,0,0,0,1,0,0.2,0.2,0,0,TRUE,Feb,Returning_Customer,0
26,0,0,0,0,5,156,0,0.04,0,0,FALSE,Feb,Returning_Customer,0
27,4,64.6,0,0,32,1135.444444,0.002857143,0.00952381,0,0,FALSE,Feb,Returning_Customer,0
28,0,0,0,0,4,76,0.05,0.1,0,0,FALSE,Feb,Returning_Customer,0
29,0,0,0,0,4,63,0,0.05,0,0.2,FALSE,Feb,Returning_Customer,0
30,1,6,1,0,45,1582.75,0.043478261,0.050821256,54.17976426,0.4,FALSE,Feb,Returning_Customer,0
31,0,0,0,0,2,35,0,0.1,0,0,FALSE,Feb,Returning_Customer,0
32,0,0,0,0,3,78,0,0.066666667,0,0,TRUE,Feb,Returning_Customer,0
33,0,0,0,0,8,209.5,0,0.025,0,0,FALSE,Feb,Returning_Customer,0
34,0,0,0,0,10,183.6666667,0.04,0.08,0,0,FALSE,Feb,Returning_Customer,0
35,0,0,0,0,14,380.5,0.014285714,0.028571429,0,0,FALSE,Feb,Returning_Customer,0
36,0,0,0,0,52,2086.242857,0.015384615,0.020352564,0,0,FALSE,Feb,Returning_Customer,0
37,0,0,0,0,8,388,0.025,0.05625,0,0,TRUE,Feb,Returning_Customer,0
38,2,18,0,0,5,298,0,0.028571429,0,0.8,FALSE,Feb,Returning_Customer,0
39,0,0,0,0,7,63,0.028571429,0.071428571,0,0.6,FALSE,Feb,Returning_Customer,0
40,0,0,0,0,9,482,0,0.022222222,0,0,FALSE,Feb,Returning_Customer,0
41,1,9,0,0,46,4084.393939,0,0.001794872,0,0,FALSE,Feb,Returning_Customer,0
42,0,0,0,0,3,22,0,0.066666667,0,0.6,FALSE,Feb,Returning_Customer,0
43,0,0,0,0,15,310.1666667,0,0.006666667,0,0,FALSE,Feb,Returning_Customer,0
44,0,0,0,0,2,34,0,0.05,0,0.4,FALSE,Feb,Returning_Customer,0
45,0,0,0,0,4,88,0,0.05,0,0,FALSE,Feb,Returning_Customer,0
46,0,0,0,0,22,622.25,0.003030303,0.006060606,0,0.2,FALSE,Feb,Returning_Customer,0
47,0,0,0,0,14,222.4,0.017142857,0.057142857,0,0,FALSE,Feb,Returning_Customer,0
48,0,0,0,0,3,80,0.066666667,0.133333333,0,0.2,FALSE,Feb,Returning_Customer,0
49,0,0,0,0,11,800.8333333,0,0.003636364,0,0,FALSE,Feb,Returning_Customer,0
50,0,0,0,0,1,0,0.2,0.2,0,0.6,FALSE,Feb,Returning_Customer,0
51,0,0,0,0,1,0,0.2,0.2,0,0,TRUE,Feb,Returning_Customer,0
52,0,0,0,0,12,265.1666667,0.011111111,0.026111111,0,0.2,FALSE,Feb,Returning_Customer,0
53,0,0,0,0,2,29,0,0.1,0,1,TRUE,Feb,Returning_Customer,0
54,0,0,0,0,4,160,0,0.075,0,0,FALSE,Feb,Returning_Customer,0
55,0,0,0,0,4,135.6666667,0.05,0.025,0,0.4,FALSE,Feb,Returning_Customer,0
56,0,0,0,0,1,0,0.2,0.2,0,0.2,FALSE,Feb,Returning_Customer,0
57,0,0,0,0,1,0,0.2,0.2,0,0.6,FALSE,Feb,Returning_Customer,0
58,4,56,2,120,36,998.7416667,0,0.014736467,19.44707913,0.2,FALSE,Feb,Returning_Customer,0
59,0,0,0,0,4,104,0,0.05,0,0.4,FALSE,Feb,Returning_Customer,0
60,2,16,0,0,16,381.6865079,0.011764706,0.046568627,0,0.6,FALSE,Feb,Returning_Customer,0
61,0,0,0,0,6,169,0,0.016666667,0,0.4,FALSE,Feb,Returning_Customer,0
62,0,0,0,0,8,400.8,0.05,0.120833333,0,0,FALSE,Feb,Returning_Customer,0
63,12,279.4166667,0,0,42,1553.583333,0.009,0.019666667,38.30849268,0,FALSE,Feb,Returning_Customer,0
64,0,0,0,0,14,706.5,0,0.007142857,0,0,TRUE,Feb,Returning_Customer,0
65,0,0,0,0,1,0,0.2,0.2,0,0,FALSE,Feb,Returning_Customer,0
66,3,87.83333333,0,0,27,798.3333333,0,0.012643678,22.9160357,0.8,FALSE,Feb,Returning_Customer,1
67,4,44,0,0,90,6951.972222,0.002150538,0.015013034,0,0,FALSE,Feb,Returning_Customer,0
68,0,0,0,0,1,0,0.2,0.2,0,0.6,FALSE,Feb,Returning_Customer,0
69,0,0,0,0,18,902,0,0.007407407,0,0,FALSE,Feb,Returning_Customer,0
70,0,0,0,0,1,0,0.2,0.2,0,0.2,FALSE,Feb,Returning_Customer,0
71,0,0,0,0,1,0,0.2,0.2,0,0,FALSE,Feb,Returning_Customer,0
72,0,0,0,0,20,197.3777778,0.025,0.0525,0,0,FALSE,Feb,Returning_Customer,0
73,0,0,0,0,2,43,0,0.1,0,0.4,FALSE,Feb,Returning_Customer,0
74,0,0,0,0,8,426.6666667,0,0.0125,0,0,FALSE,Feb,Returning_Customer,0
75,0,0,0,0,3,135,0,0.066666667,0,0,FALSE,Feb,Returning_Customer,0
76,0,0,0,0,16,588.3333333,0,0.025,0,0,FALSE,Feb,Returning_Customer,0
77,10,1005.666667,0,0,36,2111.341667,0.004347826,0.014492754,11.43941195,0,FALSE,Feb,Returning_Customer,1
78,0,0,0,0,2,76,0,0.05,0,0.6,FALSE,Feb,Returning_Customer,0
79,0,0,0,0,1,0,0.2,0.2,0,1,TRUE,Feb,Returning_Customer,0
80,0,0,0,0,1,0,0.2,0.2,0,0.4,FALSE,Feb,Returning_Customer,0
81,0,0,0,0,7,208,0,0.028571429,0,0,TRUE,Feb,Returning_Customer,0
82,0,0,0,0,4,270,0,0.016666667,0,0.8,FALSE,Feb,Returning_Customer,0
83,0,0,0,0,6,39.5,0,0.02,0,0,FALSE,Feb,Returning_Customer,0
84,0,0,0,0,12,375,0.016666667,0.058333333,0,0,FALSE,Feb,Returning_Customer,0
85,0,0,0,0,1,0,0.2,0.2,0,0.8,TRUE,Feb,Returning_Customer,0
86,0,0,0,0,1,0,0.2,0.2,0,0,FALSE,Feb,Returning_Customer,0
87,0,0,0,0,7,150,0.057142857,0.085714286,0,0,FALSE,Feb,Returning_Customer,0
88,0,0,0,0,3,138,0,0.066666667,0,0,FALSE,Feb,Returning_Customer,0
89,0,0,0,0,7,337.5,0.028571429,0.023809524,0,0.4,FALSE,Feb,Returning_Customer,0
90,0,0,0,0,19,620.0333333,0,0.007894737,0,0,FALSE,Feb,Returning_Customer,0
91,2,36,0,0,15,168.8461538,0,0.011764706,0,0.4,FALSE,Feb,Returning_Customer,0
92,0,0,0,0,1,0,0.2,0.2,0,0,TRUE,Feb,Returning_Customer,0
93,0,0,0,0,2,52,0,0.1,0,0,FALSE,Feb,Returning_Customer,0
94,0,0,0,0,13,649.25,0,0.015384615,0,0,FALSE,Feb,New_Customer,0
95,0,0,0,0,27,925.3333333,0.003703704,0.025925926,0,0.6,FALSE,Feb,Returning_Customer,0
96,0,0,0,0,2,33,0,0.1,0,0.2,FALSE,Feb,Returning_Customer,0
97,0,0,0,0,6,1566.5,0.05,0.066666667,0,0.2,FALSE,Feb,Returning_Customer,0
98,0,0,0,0,4,105,0,0.025,0,0.6,FALSE,Feb,Returning_Customer,0
99,0,0,1,0,7,50,0.038095238,0.080952381,0,0.6,FALSE,Feb,Returning_Customer,0
100,0,0,0,0,16,644.2,0.004166667,0.031666667,0,0,FALSE,Feb,Returning_Customer,0
101,3,18.33333333,0,0,38,2635.177778,0,0.008947368,0,0.4,FALSE,Feb,Returning_Customer,0
102,4,61,0,0,19,607,0,0.026984127,17.53595893,1,TRUE,Feb,Returning_Customer,1
103,0,0,0,0,6,415,0,0.033333333,0,0.4,FALSE,Feb,Returning_Customer,0
104,2,31,1,16,36,2083.530952,0,0.01351025,0,0.8,FALSE,Feb,Returning_Customer,0
105,3,58.5,0,0,17,281.6666667,0.007058824,0.017647059,0,0,FALSE,Feb,Returning_Customer,0
106,0,0,0,0,2,27,0.15,0.15,0,0,FALSE,Feb,Returning_Customer,0
107,0,0,1,0,9,215,0.044444444,0.074074074,0,0.8,FALSE,Feb,Returning_Customer,0
108,0,0,0,0,12,162,0.05,0.066666667,0,0,FALSE,Feb,Returning_Customer,0
109,0,0,0,0,2,114,0.05,0.066666667,0,0.8,FALSE,Feb,Returning_Customer,0
110,6,326.25,4,94,128,5062.213753,8.54701e-4,0.01791847,0,0,FALSE,Feb,Returning_Customer,0
111,0,0,0,0,4,253,0,0.016666667,0,0.6,FALSE,Feb,Returning_Customer,0
112,0,0,0,0,4,0,0.2,0.2,0,0.4,FALSE,Feb,Returning_Customer,0
113,0,0,0,0,1,0,0.2,0.2,0,0.8,FALSE,Feb,Returning_Customer,0
114,2,22,0,0,25,436.5,0.008,0.024,0,0.2,FALSE,Feb,Returning_Customer,0
115,0,0,1,93,30,1045.833333,0.012903226,0.035483871,0,0.2,FALSE,Feb,Returning_Customer,0
116,0,0,0,0,12,317.8333333,0,0.005555556,0,0,TRUE,Feb,Returning_Customer,0
117,0,0,0,0,21,1146.333333,0,0.012962963,0,0.8,FALSE,Feb,Returning_Customer,0
118,0,0,0,0,11,577,0.018181818,0.027272727,0,0.2,FALSE,Feb,Returning_Customer,0
119,0,0,0,0,8,95,0,0.075,0,0,FALSE,Feb,Returning_Customer,0
120,0,0,0,0,6,301.5,0,0.111111111,0,0,FALSE,Feb,Returning_Customer,0
121,0,0,0,0,6,243,0,0.033333333,0,0,FALSE,Feb,Returning_Customer,0
122,0,0,0,0,4,135.5,0,0.05,0,0.6,FALSE,Feb,Returning_Customer,0
123,0,0,2,75,14,442.3333333,0,0.034375,0,0.8,FALSE,Feb,Returning_Customer,0
124,0,0,0,0,3,41,0,0.066666667,0,0,FALSE,Feb,Returning_Customer,0
125,0,0,0,0,11,292.9,0.028,0.11952381,0,0,FALSE,Feb,Returning_Customer,0
126,0,0,0,0,1,0,0.2,0.2,0,0,FALSE,Feb,Returning_Customer,0
127,0,0,0,0,9,1238.333333,0,0.040740741,0,0.4,FALSE,Feb,Returning_Customer,0
128,0,0,0,0,10,225.4666667,0,0.05,0,0.4,FALSE,Feb,Returning_Customer,0
129,4,462,0,0,51,1873.216667,0,0.00754717,0,0.6,FALSE,Feb,Returning_Customer,0
130,0,0,0,0,3,13,0.133333333,0.166666667,0,0,FALSE,Feb,Returning_Customer,0
131,0,0,0,0,2,222,0,0.1,0,0,TRUE,Feb,Returning_Customer,0
132,2,20,0,0,16,214.8333333,0,0.022222222,0,0,FALSE,Feb,Returning_Customer,0
133,0,0,0,0,1,0,0.2,0.2,0,0,FALSE,Feb,Returning_Customer,0
134,0,0,0,0,6,2017.166667,0,0.011111111,0,0.8,FALSE,Feb,Returning_Customer,0
135,6,111.5,0,0,26,449.0277778,0,0.018518519,0,0.6,FALSE,Feb,Returning_Customer,0
136,0,0,0,0,6,158.1666667,0,0.033333333,0,0,FALSE,Feb,Returning_Customer,0
137,0,0,0,0,9,303.6666667,0.005555556,0.046296296,0,0,FALSE,Feb,Returning_Customer,0
138,0,0,0,0,3,25,0,0.066666667,0,0,FALSE,Feb,Returning_Customer,0
139,0,0,0,0,2,42,0.05,0.15,0,0.4,FALSE,Feb,Returning_Customer,0
140,4,103.625,0,0,14,1003.416667,0,0.018039216,0,0.2,FALSE,Feb,Returning_Customer,0
141,0,0,0,0,1,0,0.2,0.2,0,0,FALSE,Feb,Returning_Customer,0
142,0,0,0,0,9,272.5,0,0.011851852,0,0.2,FALSE,Feb,Returning_Customer,0
143,3,19,0,0,8,344,0,0.007407407,0,0,FALSE,Feb,Returning_Customer,0
144,0,0,0,0,1,0,0.2,0.2,0,0,FALSE,Feb,Returning_Customer,0
145,0,0,1,19,10,852,0,0.009090909,0,0,FALSE,Feb,Returning_Customer,0
146,0,0,0,0,3,780,0.066666667,0.066666667,0,0.4,FALSE,Feb,Returning_Customer,0
147,0,0,0,0,3,1038,0,0.033333333,0,0,FALSE,Feb,Returning_Customer,0
148,0,0,0,0,4,573,0,0.05,0,0,FALSE,Feb,Returning_Customer,0
149,0,0,0,0,28,1231.233333,0.007142857,0.030357143,0,0,FALSE,Feb,Returning_Customer,0
150,0,0,0,0,11,316.6666667,0,0.027272727,0,0.8,FALSE,Feb,Returning_Customer,0
151,0,0,0,0,20,873.7365079,0.0075,0.028166667,0,0,FALSE,Feb,Returning_Customer,0
152,0,0,0,0,1,0,0.2,0.2,0,0.4,FALSE,Feb,Returning_Customer,0
